WBS ID,タスク,担当,工数(人日),状態,開始,終了,先行タスク,工数出典,備考
M-0,プロジェクトキックオフ,PM,,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,,,PJ-001 / PJ-002 / PJ-003 declared 完了が条件
M-1,要件定義完了 (L1 + L2),PM + BA,,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,M-0,,L1 strategy.md + L2 crc.md + capabilities.md (Cap 一覧) + capability-landscape.d2 + bpm/{scenario}.d2 declared 完了
M-2,基本設計完了 (L3 Cap + cross-Cap),全チーム,,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,M-1,,L3 capabilities + cross-Cap (API/Event/DB ER 等) declared 完了
M-3,開発完了 (コードフリーズ、L4a + L5),全チーム,,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,M-2,,L4a 実装設計 + L5 実装 + 単体 + 結合テスト 完了
M-4,MVP リリース,PM + 全チーム,,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,M-3,,E2E test pass + 外部結合疎通テスト pass
M-5,GA リリース,PM + 全チーム,,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,M-4,,NFT (性能 / 負荷) pass + 運用 runbook 確定
WBS-1,要件定義 (L1 + L2),,,,,,,,L1 strategy + L2 (CRC + capabilities + capability-landscape + bpm/{scenario}.d2) を input
1.1,L1 Strategy 定義,,,,,,,,
1.1.1,SO/UN/SP/UL declared,PM + BA,15,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,,,strategy.md (L1) 起票
1.1.2,§1 関連組織・アクター・システム catalog declared,PM + BA,5,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,1.1.1,,strategy.md §1 関連組織・アクター・システム
1.2,L2 要件定義 (CRC + capabilities + landscape + BPM),,,,,,,,1 CR = 2 人日 / Cap 一覧 = 5 人日 / 1 BPM scenario = 3 人日 (例示、業界平均出典必須、PJ DR `references` 参照)
1.2.1,CRC catalog declared (crc.md),PM + BA,8,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,1.1,,
1.2.2,Cap 一覧 + 5軸抽象 (capabilities.md),BA + SA,5,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,1.2.1,,
1.2.3,Capability Landscape (capability-landscape.d2),SA,2,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,1.2.2,,
1.2.4,BPM scenario {scenario1} (bpm/{scenario1}.d2),BA + SA,3,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,1.2.2,,
1.3,要件定義レビュー (CP-1),,,,,,,,
1.3.1,内部レビュー,全チーム,3,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,1.2,,
1.3.2,顧客 / PMO レビュー・承認,PM + BA,2,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,1.3.1,,
WBS-2,基本設計 (L3 Cap + cross-Cap),,,,,,,,1 Cap = 5 人日 (例示) / cross-Cap = 5 人日 (例示、出典必須)
2.1,L3 Cap 5 軸定義 (per-Cap),,,,,,,,
2.1.1,Cap-{Domain1} 5軸定義,Tech Lead + Cap owner,5,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,1.2,,1 Cap = 5 人日 (例示)
2.1.2,Cap-{Domain2} 5軸定義,Tech Lead + Cap owner,5,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,1.2,,
2.2,cross-Cap 横軸成果物,,,,,,,,
2.2.1,API カタログ (api-catalog.openapi.yaml),Tech Lead,3,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,2.1,,L3 全 Cap §② API 確定後
2.2.2,Event カタログ (event-catalog.asyncapi.yaml),Tech Lead,2,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,2.1,,L3 全 Cap §② Event 確定後
2.2.3,DB ER 図 (db-er-diagram.d2),Tech Lead + BE-Sr,5,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,2.1,,L3 全 Cap §①' Aggregate 確定後
2.2.4,System Flow / DFD (per-scenario),Tech Lead,3,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,2.2.1,,主要シナリオ単位
2.2.5,Component Landscape (cross-Cap),Tech Lead,2,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,2.1,,L3 全 Cap §⑥' Component 確定後
2.3,基本設計レビュー (CP-2 / CP-3),,,,,,,,
2.3.1,Parnas 評価 + cross-Cap 整合性,Tech Lead + 全チーム,5,○ 未着手,YYYY-MM-DD,YYYY-MM-DD,2.2,,
